date,cash,stock_value,total_value
2025-10-22 10:00:00,881.2499999999993,9204.03,10085.28
2025-10-22 11:00:00,881.2499999999993,9150.54,10031.79
2025-10-22 12:00:00,881.2499999999993,9114.319999999998,9995.569999999998
2025-10-22 13:00:00,881.2499999999993,9032.902399999999,9914.152399999999
2025-10-22 14:00:00,881.2499999999993,9090.5916,9971.8416
2025-10-22 15:00:00,881.2499999999993,9147.22,10028.47
2025-10-23 10:00:00,1422.5099999999993,8712.6379,10135.1479
2025-10-23 11:00:00,1422.5099999999993,8717.2368,10139.7468
2025-10-23 12:00:00,1422.5099999999993,8721.86,10144.369999999999
2025-10-23 13:00:00,1422.5099999999993,8743.2032,10165.713199999998
2025-10-23 14:00:00,1422.5099999999993,8749.745,10172.255000000001
2025-10-23 15:00:00,1260.5099999999993,8893.35,10153.86
2025-10-23 15:00:00,1782.9699999999993,8372.76,10155.73
2025-10-23 15:00:00,1277.9799999999993,8882.76,10160.74
2025-10-24 10:00:00,1277.9799999999993,9079.264999999998,10357.244999999997
2025-10-24 11:00:00,1277.9799999999993,9078.3186,10356.2986
2025-10-24 12:00:00,1277.9799999999993,9103.935000000001,10381.915
2025-10-24 13:00:00,1277.9799999999993,9104.595800000001,10382.5758
2025-10-24 14:00:00,1277.9799999999993,9099.2236,10377.203599999999
2025-10-24 15:00:00,1277.9799999999993,9109.734,10387.714
2025-10-27 10:00:00,847.7799999999993,9775.8785,10623.6585
2025-10-27 11:00:00,847.7799999999993,9795.3,10643.079999999998
2025-10-27 12:00:00,847.7799999999993,9803.079600000001,10650.8596
2025-10-27 13:00:00,847.7799999999993,9798.893,10646.672999999999
2025-10-27 14:00:00,847.7799999999993,9810.559399999998,10658.339399999997
2025-10-27 15:00:00,74.1399999999993,10610.754999999997,10684.894999999997
2025-10-28 10:00:00,74.1399999999993,10679.89,10754.029999999999
2025-10-28 11:00:00,74.1399999999993,10695.8686,10770.0086
2025-10-28 12:00:00,74.1399999999993,10712.674200000001,10786.8142
2025-10-28 13:00:00,74.1399999999993,10755.803,10829.943
2025-10-28 14:00:00,74.1399999999993,10794.238199999998,10868.378199999997
2025-10-28 15:00:00,74.1399999999993,10764.1,10838.24
2025-10-29 10:00:00,615.1399999999993,10383.83,10998.97
2025-10-29 11:00:00,615.1399999999993,10334.659999999998,10949.799999999997
2025-10-29 12:00:00,615.1399999999993,10341.8996,10957.0396
2025-10-29 13:00:00,615.1399999999993,10366.5139,10981.6539
2025-10-29 14:00:00,615.1399999999993,10338.619999999999,10953.759999999998
2025-10-29 15:00:00,1343.1399999999994,9666.949999999999,11010.089999999998
2025-10-29 15:00:00,253.2599999999993,10752.07,11005.329999999998
2025-10-29 15:00:00,71.74999999999932,10932.29,11004.04
2025-10-30 10:00:00,71.74999999999932,10683.7311,10755.4811
2025-10-30 11:00:00,71.74999999999932,10671.145,10742.895
2025-10-30 12:00:00,71.74999999999932,10743.88,10815.63
2025-10-30 13:00:00,71.74999999999932,10754.935399999998,10826.685399999998
2025-10-30 14:00:00,71.74999999999932,10721.605,10793.355
2025-10-30 14:00:00,71.74999999999932,10721.605,10793.355
2025-10-30 15:00:00,71.74999999999932,10638.92,10710.67
2025-10-31 10:00:00,71.74999999999932,10861.706300000002,10933.456300000002
2025-10-31 11:00:00,71.74999999999932,10721.607800000002,10793.357800000002
2025-10-31 12:00:00,71.74999999999932,10655.495000000003,10727.245000000003
2025-10-31 13:00:00,71.74999999999932,10661.152499999998,10732.902499999998
2025-10-31 14:00:00,71.74999999999932,10693.810000000001,10765.560000000001
2025-10-31 15:00:00,71.74999999999932,10690.84,10762.59
2025-11-03 10:00:00,71.74999999999932,10758.408800000001,10830.158800000001
